brand_name,indication,disease,disease_category,year,women,white,black,asian,other,hispanic,us_only,age_65,age_75,age_80
Exondys 51##,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping,Duchenne Muscular Dystrophy,Neurological,2016,0.0,100.0,0.0,0.0,0.0,,,0.0,,
Lartruvo,Treatment of soft tissue sarcoma,Soft Tissue Sarcoma,Cancer,2016,56.0,86.0,8.0,3.0,2.0,,,32.0,,
Netspot,For detection of a specific type of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs),Neuroendocrine Tumors,Cancer,2016,52.0,,,,100.0,,,,,
Nuplazid,Treatment of hallucinations and delusions in patients with Parkinson’s disease,Psychosis (Parkinson'S-Related),Neurological,2016,36.0,91.0,1.0,5.0,3.0,,,82.0,,
Ocaliva,Treatment of primary biliary cholangitis in adults,Primary Biliary Cholangitis,Immune / Inflammatory,2016,91.0,94.0,1.0,1.0,3.0,,,19.0,,
Rubraca,Treatment of women with certain type of advanced ovarian cancer,Ovarian Cancer,Cancer,2016,100.0,80.0,2.0,6.0,12.0,,,42.0,,
Spinraza,Spinal muscular atrophy (SMA),Spinal Muscular Atrophy,Neurological,2016,55.0,86.0,2.0,6.0,6.0,,,0.0,,
Taltz,Treatment of moderate to severe plaque psoriasis in adults,Moderate To Severe Plaque Psoriasis,Immune / Inflammatory,2016,32.0,93.0,2.0,4.0,1.0,,,7.0,,
Tecentriq,Treatment of a type of bladder cancer called urothelial carcinoma,Urothelial Carcinoma,Cancer,2016,78.0,91.0,2.0,2.0,5.0,,,59.0,,
Venclexta,Treatment of chronic lymphocytic leukemia (CLL),Chronic Lymphocytic Leukemia,Cancer,2016,31.0,94.0,3.0,1.0,3.0,,,58.0,,
Xiidra,Treatment of the signs and symptoms of dry eye disease,Dry Eye Disease,Other,2016,76.0,85.0,9.0,4.0,2.0,,,37.0,,
Zepatier,Treatment of chronic Hepatis C genotypes 1 or 4 infection,Chronic Hepatis C Genotypes 1 Or 4 Infection,Infectious Disease,2016,39.0,75.0,15.0,9.0,1.0,,,11.0,,
Zinbryta,Treatment of relapsing forms of multiple sclerosis (MS),Relapsing Forms Of Multiple Sclerosis,Neurological,2016,67.0,91.0,1.0,3.0,5.0,,,0.0,,
Zinplava,Decreasing the risk of Clostridium difficile infection recurrence,Clostridium Difficile Infection Recurrence,Infectious Disease,2016,57.0,85.0,5.0,8.0,2.0,,,62.0,,
Aliqopa,Treatment of relapsed follicular lymphoma,Relapsed Follicular Lymphoma,Cancer,2017,54.0,83.0,0.0,9.0,8.0,6%,13%,48.0,,
Alunbrig,Treatment of metastatic non-small cell lung cancer,Metastatic Non-Small Cell Lung Cancer,Cancer,2017,57.0,67.0,1.0,31.0,1.0,6%,NR,23.0,,
Austedo,Treatment of chorea associated with Huntington’s disease,Chorea Associated With Huntington’S Disease,Neurological,2017,44.0,92.0,6.0,0.0,2.0,0%,93%,19.0,,
Bavencio,Treatment of metastatic Merkel cell carcinoma,Metastatic Merkel Cell Carcinoma,Cancer,2017,26.0,92.0,0.0,3.0,5.0,6%,58%,75.0,,
Baxdela,Treatment of acute bacterial skin and skin structure infection,Acute Bacterial Skin And Skin Structure Infection,Infectious Disease,2017,37.0,86.0,5.0,0.0,9.0,28%,52%,14.0,,
Benznidazole,Treatment of Chagas disease,Chagas Disease,Infectious Disease,2017,46.0,,,,1.0,NR,0%,0.0,,
Besponsa,Treatment of B-cell acute lymphocytic leukemia,B-Cell Acute Lymphocytic Leukemia,Cancer,2017,41.0,71.0,2.0,17.0,10.0,NR,47%,37.0,,
Bevyxxa,Prevention of venous thromboembolism,Venous Thromboembolism,Cardiovascular,2017,54.0,93.0,2.0,1.0,5.0,11%,7%,90.0,,
Brineura,Treatment of Batten disease,Batten Disease,Neurological,2017,63.0,96.0,0.0,4.0,0.0,4%,13%,0.0,,
Calquence,Treatment of mantle cell lymphoma,Mantle Cell Lymphoma,Cancer,2017,20.0,74.0,3.0,0.0,23.0,3%,36%,65.0,,
Dupixent,Treatment of atopic dermatitis,Atopic Dermatitis,Immune / Inflammatory,2017,42.0,67.0,6.0,24.0,3.0,4%,34%,4.0,,
Emflaza,Treatment of Duchenne muscular dystrophy,Duchenne Muscular Dystrophy,Neurological,2017,0.0,94.0,0.0,1.0,5.0,NR,NR,0.0,,
Fasenra,Treatment of eosinophilic asthma,Eosinophilic Asthma,Immune / Inflammatory,2017,63.0,80.0,3.0,12.0,5.0,20%,15%,13.0,,
Giapreza,To increase blood pressure in septic or other distributive shock,Septic Shock,Cardiovascular,2017,39.0,80.0,10.0,4.0,6.0,5%,74%,48.0,,
Hemlibra,To prevent or reduce bleeding in patients with hemophilia A,Hemophilia A,Other,2017,0.0,56.0,11.0,26.0,7.0,12%,28%,3.0,,
Idhifa,Treatment of relapsed acute myelogenous leukemia,Relapsed Acute Myelogenous Leukemia,Cancer,2017,49.0,77.0,6.0,1.0,17.0,9%,83%,60.0,,
Imfinzi,Treatment of urothelial carcinoma,Urothelial Carcinoma,Cancer,2017,28.0,64.0,3.0,20.0,13.0,NR,49%,62.0,,
Ingrezza,Treatment of tardive dyskinesia,Tardive Dyskinesia,Neurological,2017,42.0,57.0,39.0,1.0,4.0,28%,100%,18.0,,
Kevzara,Treatment of rheumatoid arthritis,Rheumatoid Arthritis,Immune / Inflammatory,2017,82.0,81.0,3.0,6.0,10.0,39%,14%,13.0,,
Kisqali,"Treatment of HR-positive, HER2-negative breast cancer","Hr-Positive, Her2-Negative Breast Cancer",Cancer,2017,100.0,82.0,3.0,8.0,7.0,10%,32%,44.0,,
Macrilen,Diagnosis of adult growth hormone deficiency,Adult Growth Hormone Deficiency,Other,2017,42.0,86.0,2.0,3.0,9.0,NR,24%,2.0,,
Mavyret,"Treatment of chronic hepatitis C genotypes 1, 2, 3, 4, 5 or 6","Chronic Hepatitis C Genotypes 1, 2, 3, 4, 5 Or 6",Infectious Disease,2017,44.0,80.0,6.0,12.0,2.0,9%,32%,14.0,,
Mepsevii,Treatment of mucopolysaccharidosis VII,Mucopolysaccharidosis Vii,Metabolic / Genetic,2017,67.0,75.0,0.0,0.0,25.0,50%,100%,0.0,,
